training/fb_actor/actor_loss,training/fb_actor/mse,training/fb_actor/q_abs_mean,training/fb_actor/q_loss,training/fb_actor/q_mean,training/fb_actor/std,training/fb_repr/B,training/fb_repr/B_norm,training/fb_repr/F1,training/fb_repr/M1,training/fb_repr/fb_diag,training/fb_repr/fb_loss,training/fb_repr/fb_offdiag,training/fb_repr/orth_loss,training/fb_repr/orth_loss_diag,training/fb_repr/orth_loss_offdiag,training/fb_repr/target_M,training/grad/max,training/grad/min,training/grad/norm,validation/fb_actor/actor_loss,validation/fb_actor/mse,validation/fb_actor/q_abs_mean,validation/fb_actor/q_loss,validation/fb_actor/q_mean,validation/fb_actor/std,validation/fb_repr/B,validation/fb_repr/B_norm,validation/fb_repr/F1,validation/fb_repr/M1,validation/fb_repr/fb_diag,validation/fb_repr/fb_loss,validation/fb_repr/fb_offdiag,validation/fb_repr/orth_loss,validation/fb_repr/orth_loss_diag,validation/fb_repr/orth_loss_offdiag,validation/fb_repr/target_M,time/epoch_time,time/total_time,step
-75.61748,2880.295,95.758,-75.61748,75.61748,1.0,0.0057136393,22.627415,0.040061787,25.724651,-897.7366,-1036.404,340.85016,-479.51764,-1023.99414,544.4765,24.426643,18.329292,-20.565172,3862.8213,-75.60344,2660.3503,96.39514,-75.60344,75.60344,1.0,0.001833401,22.627415,0.04376743,25.807953,-950.1825,-921.5755,402.3082,-373.70123,-1023.9949,650.29364,24.955166,0.01207364845275879,60.36825919151306,5000
-132.22345,13150.27,154.06705,-132.22345,132.22345,1.0,1.4726538e-05,22.627415,0.08516801,36.770943,-1362.4625,-1247.0432,612.41846,-496.9992,-1023.9961,526.9969,35.43136,62.70372,-68.45414,7541.1475,-112.29819,13086.455,141.47006,-112.29819,112.29819,1.0,0.0002498101,22.627415,0.098767124,41.35081,-1499.5491,-1132.8566,713.3811,-346.6886,-1023.9946,677.306,39.805046,0.004718103313446045,83.95878577232361,10000
-151.65341,52683.03,182.03714,-151.65341,151.65341,1.0,-0.0007145641,22.627415,0.1267613,50.791924,-1639.3989,-1292.5305,805.4573,-458.5888,-1023.99963,565.4108,49.770203,149.77122,-114.49265,11451.692,-175.48073,53130.81,212.21323,-175.48073,175.48073,1.0,0.004022048,22.627415,0.15788636,59.960716,-1925.0457,-1128.9037,1129.3112,-333.1692,-1023.9957,690.82654,59.405594,0.004691158580780029,107.4145872592926,15000
-175.63364,169513.89,218.1417,-175.63364,175.63364,1.0,-0.001804579,22.627415,0.14772256,57.56091,-2118.269,-1486.0402,1127.7969,-495.568,-1023.9927,528.4247,56.705463,159.41388,-170.13084,16192.783,-202.5201,170671.19,227.24292,-202.5201,202.5201,1.0,0.0074592093,22.627415,0.18677437,66.196625,-1978.7649,-1336.2788,1024.7281,-382.24207,-1023.99255,641.7505,65.18856,0.004715287828445435,130.99103569984436,20000
-176.53035,379374.94,229.08685,-176.53035,176.53035,1.0,-0.002836333,22.627415,0.19154057,64.36484,-2296.7224,-1326.6265,1442.8477,-472.75177,-1023.99396,551.2422,63.271584,280.23267,-296.02924,21382.46,-203.16953,374050.12,263.33163,-203.16953,203.16953,1.0,0.0043731723,22.627415,0.20077512,77.47003,-2369.0703,-1334.1738,1347.407,-312.51056,-1023.9968,711.48627,76.659,0.00473338713645935,154.65798115730286,25000
-157.82655,1005185.2,228.08429,-157.82655,157.82655,1.0,0.006261994,22.627415,0.24933526,82.03718,-2662.8433,-1938.2878,1177.1858,-452.63037,-1023.99133,571.36096,81.29137,409.37384,-302.87048,27175.885,-195.26111,978121.6,229.41504,-195.26111,195.26111,1.0,0.003300324,22.627415,0.20608512,82.87244,-2516.3542,-1232.4581,1571.7905,-287.8944,-1023.996,736.10156,81.14168,0.0047160560131073,178.23827123641968,30000
-175.04979,1422890.0,246.23811,-175.04979,175.04979,1.0,0.0009887463,22.627415,0.28197417,80.75647,-2647.6519,-1711.2788,1418.0164,-481.64325,-1023.9939,542.35065,80.71877,467.40186,-436.23938,27461.656,-147.8136,1399609.4,229.6948,-147.8136,147.8136,1.0,0.00025043258,22.627415,0.25629628,94.67296,-2805.183,-1310.2424,1796.8228,-301.88202,-1023.9932,722.1112,95.295685,0.004725623083114624,201.8663957118988,35000
-167.68246,2169651.5,256.78693,-167.68246,167.68246,1.0,0.003983797,22.627415,0.2734409,81.57945,-3060.4248,-2468.5396,1088.6213,-496.73602,-1023.9946,527.2586,80.8638,464.84784,-360.71378,25804.1,-196.51382,1977872.4,264.0478,-196.51382,196.51382,1.0,0.003186865,22.627415,0.21862309,109.244415,-3051.3115,-1009.5756,2264.411,-222.67499,-1023.995,801.32,108.269196,0.004695980978012085,225.34631061553955,40000
-218.86777,3422399.5,281.2293,-218.86777,218.86777,1.0,-0.002333553,22.627415,0.2473583,83.826126,-3040.956,-2122.4802,1396.9283,-478.45245,-1023.99316,545.5407,82.7434,299.60364,-357.6755,28578.363,-190.32855,2962400.8,252.13773,-190.32855,190.32855,1.0,0.0049597844,22.627415,0.3055736,106.40913,-3084.3306,-1003.8188,2363.819,-283.3073,-1023.99414,740.6868,105.822754,0.004706116724014282,248.87690353393555,45000
-169.55527,5142830.0,271.19562,-169.55527,169.55527,1.0,0.0014142287,22.627415,0.30224746,93.04221,-3215.4243,-2338.1265,1362.9409,-485.643,-1023.9984,538.3554,91.95201,697.68146,-830.30475,33856.945,-171.82173,5440808.5,262.7566,-171.82173,171.82173,1.0,0.0042089866,22.627415,0.263645,105.1889,-3201.662,-981.46265,2470.4458,-250.24634,-1023.9971,773.75073,104.87343,0.004710647869110108,272.43015217781067,50000
-189.31305,10608072.0,286.67804,-189.31305,189.31305,1.0,0.0052824635,22.627415,0.3898913,105.1265,-3536.441,-2594.8076,1413.0641,-471.43054,-1023.99365,552.5631,104.8775,359.65036,-378.9116,30883.703,-191.78297,10563421.0,273.87543,-191.78297,191.78297,1.0,-0.0034511182,22.627415,0.24177818,117.08771,-3321.0107,-869.8104,2726.3418,-275.14148,-1023.99603,748.85455,115.650055,0.00470276026725769,295.94396352767944,55000
-170.82625,12929895.0,289.9979,-170.82625,170.82625,1.0,0.00046837993,22.627415,0.33376068,102.543106,-3809.498,-2824.8525,1417.0977,-432.4522,-1023.9979,591.5457,101.76926,478.0097,-486.64294,36174.07,-175.87875,12264904.0,264.53094,-175.87875,175.87875,1.0,0.0010004176,22.627415,0.31765515,108.350204,-3398.724,-696.45654,2993.6187,-291.35107,-1023.9934,732.64233,106.70339,0.004705477380752564,319.4713599681854,60000
-185.76044,19070756.0,295.5072,-185.76044,185.76044,1.0,0.0073363865,22.627415,0.3699227,117.13637,-3749.354,-2450.3738,1710.1505,-411.17023,-1023.9952,612.82495,115.751205,1154.5289,-642.197,48919.21,-142.02649,18034304.0,284.23145,-142.02649,142.02649,1.0,0.0051584304,22.627415,0.36507908,109.434296,-3576.0625,-39.49048,3810.72,-274.14795,-1023.9958,749.84784,107.806015,0.004693800163269043,342.94037079811096,65000
-169.50812,36344464.0,287.8639,-169.50812,169.50812,1.0,0.0015377228,22.627415,0.37054247,108.341034,-3936.868,-2492.8271,1885.0358,-440.99512,-1023.995,582.9999,107.85722,1418.3898,-1940.7605,53089.016,-125.56661,33790908.0,262.88995,-125.56661,125.56661,1.0,0.0015034438,22.627415,0.3778041,143.1942,-4042.98,-96.29315,4095.3872,-148.70038,-1023.99646,875.2961,142.18216,0.004697593307495117,366.42834663391113,70000
-97.49418,67492090.0,239.46112,-97.49418,97.49418,1.0,0.0061607743,22.627415,0.37129718,111.37741,-3946.377,-2533.9448,1842.4028,-429.97076,-1023.9946,594.02386,110.63547,1070.4907,-475.01917,55044.21,-102.18005,64039100.0,225.77707,-102.18005,102.18005,1.0,0.0065164124,22.627415,0.37508017,126.62648,-3998.1367,-187.5039,4017.433,-206.8003,-1023.99554,817.19525,125.29471,0.004680580997467041,389.8312609195709,75000
-93.13097,194383540.0,247.02274,-93.13097,93.13097,1.0,0.00097471813,22.627415,0.3962175,110.57956,-4142.2935,-2780.7356,1821.3683,-459.81036,-1023.9949,564.1845,110.71238,1085.2113,-858.32135,49663.703,-156.58278,218213810.0,285.6002,-156.58278,156.58278,1.0,0.0020527183,22.627415,0.41017658,142.25928,-4214.677,-448.6131,4020.245,-254.18146,-1023.9956,769.81415,141.78342,0.0047120447158813476,413.3914942741394,80000
-62.535027,365119580.0,251.50491,-62.535027,62.535027,1.0,0.00044044617,22.627415,0.45587403,110.925995,-4353.957,-2166.408,2630.731,-443.18182,-1023.9956,580.8138,111.15485,1390.3429,-2924.2249,70098.72,-116.815186,378293600.0,289.51843,-116.815186,116.815186,1.0,0.004365089,22.627415,0.44995663,133.63045,-4267.827,41.013184,4464.797,-155.95654,-1023.99335,868.0368,133.45946,0.004663188123703003,436.707444190979,85000
-98.60443,421849920.0,280.4046,-98.60443,98.60443,1.0,0.0021223123,22.627415,0.40967128,109.3032,-4665.889,-3131.2375,2003.2708,-468.61908,-1023.99475,555.3757,108.52713,916.54395,-1270.0573,59537.258,-53.745285,441028860.0,253.67593,-53.745285,53.745285,1.0,0.002695707,22.627415,0.4144457,139.20633,-4505.5127,1261.1853,5985.7266,-219.0285,-1023.9979,804.9694,140.26987,0.004678255844116211,460.09873270988464,90000
-98.25426,557978900.0,294.69452,-98.25426,98.25426,1.0,0.0043061413,22.627415,0.44657308,118.295044,-4824.043,-3289.3267,1909.425,-374.70886,-1023.9958,649.2869,117.93785,1961.4769,-1567.9097,71175.37,-169.4406,603232200.0,352.37946,-169.4406,169.4406,1.0,0.0012406445,22.627415,0.45007896,150.33908,-4488.3545,2028.3835,6699.507,-182.76874,-1023.995,841.22626,147.32434,0.004695238399505615,483.5749340057373,95000
-121.990814,548911740.0,299.39273,-121.990814,121.990814,1.0,0.0029523177,22.627415,0.5276774,114.46405,-4820.005,-3353.7483,1896.754,-430.49725,-1023.99866,593.5014,112.83563,4013.7886,-987.3892,78130.44,-32.908768,591045700.0,302.3555,-32.908768,32.908768,1.0,0.001786958,22.627415,0.39504308,142.90047,-4575.4326,1587.4551,6276.162,-113.274414,-1023.9949,910.72046,145.0517,0.0047847718238830566,507.49880266189575,100000
-51.90303,583070000.0,328.59418,-51.90303,51.90303,1.0,0.0033529506,22.627415,0.46733224,131.48505,-5148.3066,-3576.3376,1975.3613,-403.39227,-1023.9945,620.60223,131.36606,1665.988,-1122.044,74478.7,-42.46007,576476400.0,292.11215,-42.46007,42.46007,1.0,0.003394672,22.627415,0.4608158,158.64784,-5180.841,1161.0955,6512.221,-170.28485,-1023.9932,853.7084,158.0658,0.004728640127182007,531.142012834549,105000
-85.05533,569155840.0,339.67163,-85.05533,85.05533,1.0,0.003991612,22.627415,0.5149282,139.86728,-5024.0547,-3103.167,2308.2085,-387.32086,-1023.99274,636.6719,142.83946,1108.9451,-1743.6663,92240.125,-34.436584,600145600.0,319.72723,-34.436584,34.436584,1.0,0.004895428,22.627415,0.4380586,128.18848,-4829.262,1372.6714,6417.111,-215.17725,-1023.99304,808.8158,126.10523,0.004681297969818116,554.5485126972198,110000
15.543696,612040450.0,332.3137,15.543696,-15.543696,1.0,0.002874025,22.627415,0.5124677,170.71596,-4936.2,-2665.1133,2619.2139,-348.12708,-1023.9927,675.8656,170.96301,929.7045,-839.3343,81954.19,-47.755962,599082430.0,329.34247,-47.755962,47.755962,1.0,0.0018253013,22.627415,0.47614604,167.6605,-5066.698,2420.5112,7699.0474,-211.83789,-1023.9965,812.1586,167.68753,0.0046849777221679685,577.9734110832214,115000
-45.51501,612970200.0,292.3804,-45.51501,45.51501,1.0,0.0031720572,22.627415,0.49087483,103.90106,-5219.073,-3279.1865,2308.4634,-368.57678,-1023.9963,655.4195,104.51863,909.8199,-1500.7001,91875.875,-71.44853,616624500.0,354.90796,-71.44853,71.44853,1.0,0.002457188,22.627415,0.3987514,190.45021,-5039.836,3312.5493,8472.401,-120.016235,-1023.9951,903.9789,189.06897,0.004763147497177124,601.7891583442688,120000
-17.649548,593651200.0,336.6322,-17.649548,17.649548,1.0,-0.0014468518,22.627415,0.5511179,138.20917,-5383.126,-3376.894,2440.667,-434.43506,-1023.9963,589.5612,138.7488,2384.7778,-1689.2306,99698.03,-76.72276,634533760.0,368.40417,-76.72276,76.72276,1.0,0.005081884,22.627415,0.4355293,177.01685,-5312.502,1395.5815,6817.48,-109.39642,-1023.99646,914.60004,176.68335,0.004699943590164185,625.2888853549957,125000
-74.21909,561673100.0,383.7379,-74.21909,74.21909,1.0,0.0056324024,22.627415,0.63768363,156.74104,-6024.3027,-3977.914,2453.5325,-407.14374,-1023.996,616.85223,156.54878,4029.3962,-1263.1412,93070.75,-32.09471,633310460.0,294.41617,-32.09471,32.09471,1.0,0.005823653,22.627415,0.5614219,155.82968,-5421.754,1171.2236,6766.5776,-173.6001,-1023.9936,850.3935,155.56335,0.004689639043807983,648.7370893955231,130000
-125.15488,636418940.0,394.16684,-125.15488,125.15488,1.0,0.004038264,22.627415,0.5497581,188.70183,-6024.2266,-2225.9019,4180.211,-381.88635,-1023.999,642.1127,189.42964,1529.628,-3130.613,122541.37,-12.567706,590349440.0,320.89963,-12.567706,12.567706,1.0,0.003981169,22.627415,0.4952766,179.59094,-5528.7607,1721.3915,7352.1553,-102.00305,-1023.9947,921.99164,178.90552,0.0046832245826721195,672.1532220840454,135000
-35.84884,629450000.0,385.01422,-35.84884,35.84884,1.0,-0.0034221753,22.627415,0.58270085,167.25696,-5626.146,-1375.4957,4654.8525,-404.20227,-1023.9978,619.79553,169.66278,2805.0276,-2576.7979,169475.81,-66.780655,614033900.0,363.37674,-66.780655,66.780655,1.0,-0.0008176513,22.627415,0.5122137,217.09055,-5457.6113,4892.3057,10451.054,-101.13672,-1023.9934,922.8567,218.15402,0.004700958347320557,695.6580235958099,140000
-172.82806,566320400.0,495.32593,-172.82806,172.82806,1.0,0.0040684403,22.627415,0.6126544,181.48123,-5777.662,-2978.3518,3135.0742,-335.76385,-1023.99585,688.232,179.85153,1712.2369,-3039.8435,119138.75,-94.280754,597307000.0,409.55045,-94.280754,94.280754,1.0,0.005316267,22.627415,0.58958566,201.58105,-5567.622,3539.1484,9243.394,-136.62299,-1023.9935,887.37054,201.06847,0.004677198219299316,719.0440239906311,145000
-76.738785,619457400.0,372.4273,-76.738785,76.738785,1.0,0.010084376,22.627415,0.6910013,173.20265,-6086.02,-2278.4917,4189.277,-381.7484,-1024.0011,642.2527,167.2086,4140.3794,-3684.9438,200994.56,-50.991077,617140740.0,350.5583,-50.991077,50.991077,1.0,0.00074271613,22.627415,0.5119351,161.59561,-5559.7686,4968.9683,10640.287,-111.55011,-1023.99805,912.44794,162.55469,0.004679890584945679,742.4434864521027,150000
-58.248585,579232450.0,377.37274,-58.248585,58.248585,1.0,0.0046841423,22.627415,0.71190596,142.1203,-6188.732,-3406.6067,3197.1943,-415.06915,-1023.9974,608.9282,141.07152,2400.5986,-2940.062,112884.27,-37.75126,595411700.0,383.3886,-37.75126,37.75126,1.0,-0.0015707503,22.627415,0.45714733,188.81259,-5785.2485,2961.211,8856.676,-110.21625,-1023.9966,913.78033,189.49545,0.004684747695922852,765.8672347068787,155000
-40.540783,601686660.0,399.54706,-40.540783,40.540783,1.0,0.0012825471,22.627415,0.6300598,187.45636,-5682.6357,-3579.3408,2483.9727,-380.6776,-1023.993,643.31537,188.5145,2003.6414,-1664.4556,109306.42,-89.591034,552062700.0,398.39368,-89.591034,89.591034,1.0,0.0020717597,22.627415,0.55986744,214.13432,-5991.048,3990.2378,10047.448,-66.162476,-1023.99744,957.83496,216.77794,0.0047127955913543705,789.4312222003937,160000
-100.44714,583882400.0,430.63623,-100.44714,100.44714,1.0,-0.00080296065,22.627415,0.6216208,233.10051,-6571.121,-2779.0547,4204.752,-412.68555,-1023.99365,611.3081,233.16776,1731.4315,-2038.703,156369.58,-89.95676,602087900.0,413.39697,-89.95676,89.95676,1.0,0.0052571255,22.627415,0.59485435,239.30872,-5821.535,5135.6265,11167.689,-210.52777,-1023.9945,813.46674,239.75504,0.004698270654678345,812.9225854873657,165000
-21.846397,603488400.0,396.40836,-21.846397,21.846397,1.0,0.0048332163,22.627415,0.8201437,234.68343,-6621.166,-2779.0981,4205.325,-363.25726,-1023.9949,660.7376,236.06688,1725.6655,-2115.856,135989.53,-43.773487,588771840.0,360.50232,-43.773487,43.773487,1.0,0.0014091695,22.627415,0.5889455,209.52477,-6518.97,3360.8828,9992.287,-112.434204,-1023.99475,911.56055,208.82144,0.004785862684249878,836.8519084453583,170000
-48.476425,580339600.0,480.32083,-48.476425,48.476425,1.0,0.005207657,22.627415,0.8278239,194.91328,-5587.7354,-3254.21,2738.7065,-405.1812,-1023.9953,618.8141,193.00952,2563.8352,-2416.2874,153429.4,-37.176697,613073540.0,380.95706,-37.176697,37.176697,1.0,-0.0012237527,22.627415,0.6463749,229.3122,-6161.2114,5434.4937,11695.862,-100.15704,-1023.99146,923.8344,230.3058,0.004745459604263306,860.579216003418,175000
-131.70045,581588700.0,487.5689,-131.70045,131.70045,1.0,0.007445911,22.627415,0.83830136,175.76682,-6020.0825,-3222.874,3225.2734,-428.065,-1023.99304,595.92804,175.57869,2206.6294,-2880.155,128208.36,-164.72537,597842400.0,491.61115,-164.72537,164.72537,1.0,0.002868568,22.627415,0.59324217,221.36246,-6213.054,5828.892,12057.989,-16.04309,-1023.9961,1007.953,221.32938,0.004744545221328735,884.301952123642,180000
-8.685627,602453700.0,480.25287,-8.685627,8.685627,1.0,0.0038041724,22.627415,0.755103,189.39809,-6721.796,-3143.098,3962.4998,-383.80182,-1023.9951,640.1933,191.19014,3709.0635,-2440.2974,191058.4,-97.91962,568200200.0,416.13745,-97.91962,97.91962,1.0,0.0041004494,22.627415,0.7283448,257.87646,-6659.267,3290.0557,9918.476,30.847168,-1023.99817,1054.8453,258.78195,0.004727537631988525,907.9396493434906,185000
-178.8964,605600000.0,572.3943,-178.8964,178.8964,1.0,0.007104079,22.627415,0.85513043,219.90004,-6568.3145,-4542.33,2392.2266,-366.242,-1023.9957,657.7537,219.51224,1320.0785,-1660.8325,102195.36,-27.840118,517998720.0,388.79572,-27.840118,27.840118,1.0,0.00034773245,22.627415,0.63966966,197.70639,-6447.3896,5310.1304,11776.186,-18.665466,-1023.99554,1005.3301,198.0546,0.0047526113986969,931.7027158737183,190000
-130.5639,631449000.0,502.91678,-130.5639,130.5639,1.0,0.005623037,22.627415,0.97519416,203.49413,-6670.284,-1360.6224,5689.213,-379.55115,-1023.9989,644.44775,199.77164,4402.6665,-4254.475,245619.03,3.6567717,587770560.0,435.4157,3.6567717,-3.6567717,1.0,0.0009417626,22.627415,0.6617208,171.02457,-5489.9893,6610.4067,12150.128,-49.731873,-1023.9981,974.26624,171.01671,0.004742603635787964,955.4157438278198,195000
-180.83884,674068900.0,513.1384,-180.83884,180.83884,1.0,0.0007359478,22.627415,0.8470658,237.44023,-6778.494,-2092.9258,4990.963,-305.39453,-1023.99646,718.6019,242.07475,5273.118,-6135.118,262867.0,-27.648033,640889700.0,448.31998,-27.648033,27.648033,1.0,-0.0039194566,22.627415,0.6900116,181.20316,-5882.5913,3407.7834,9365.443,-75.068665,-1023.99414,948.9255,181.74893,0.004894498252868652,979.8882448673248,200000
